🕘️更新时间,#genre#
2026-09-06 11:47:10,http://198.19.249.2/hls/19ed938123975e64307e4896.m3u8

📺央视频道,#genre#
CCTV-1,http://198.19.249.2/hls/19ed938123975e64307e4896.m3u8
CCTV-2,http://198.19.249.2/hls/c549d6f6b69d95b2b9e507cb.m3u8
CCTV-2,http://198.19.249.2/hls/4eff6762387f96d52c95ae17.m3u8
CCTV-5+,http://198.19.249.2/hls/6f5b267b0103c3d9ab13b284.m3u8
CCTV-7,http://198.19.249.2/hls/2617c32ac427a594c519d482.m3u8
CCTV-8,http://198.19.249.2/hls/4dedc49d2c80e8739a8e77ea.m3u8
CCTV-10,http://198.19.249.2/hls/c790c71dcd04c9ff943244ec.m3u8
CCTV-11,http://198.19.249.2/hls/2ea600914d00c82ca352204c.m3u8
CCTV-12,http://198.19.249.2/hls/97ff908c12b943f5daacddcc.m3u8
CCTV-13,http://198.19.249.2/hls/8d128501cc74cf0a6e139d75.m3u8
CCTV-14,http://198.19.249.2/hls/56309b54f5af708eefb76b59.m3u8
CCTV-17,http://198.19.249.2/hls/c23ebace2841f3f1ef589d5e.m3u8

📡卫视频道,#genre#
浙江卫视,http://198.19.249.2/hls/87356fb7812a5ee9ec5c1896.m3u8
浙江卫视,http://198.19.249.2/hls/52b6e7289ac7efb7aad441cf.m3u8
湖南卫视,http://198.19.249.2/hls/6833f77050c3cf784c1c165c.m3u8
湖南卫视,http://198.19.249.2/hls/9278be84b21cbaf02adb136f.m3u8
湖南卫视,http://198.19.249.2/hls/5d4a8314b5642f2a1d50f08a.m3u8
北京卫视,http://198.19.249.2/hls/343a84c24957d8e3de9bc0d9.m3u8
安徽卫视,http://198.19.249.2/hls/10aa3c685bae56b8e0d53c1d.m3u8
安徽卫视,http://198.19.249.2/hls/be4ffaca8b895cd75bf2f6d5.m3u8
重庆卫视,http://198.19.249.2/hls/15f2d9f64613032ddd09a74e.m3u8
贵州卫视,http://198.19.249.2/hls/e36f4a7851f557694fd820cd.m3u8
深圳卫视,http://198.19.249.2/hls/7fef54ff82a08b8f8f2e296f.m3u8
天津卫视,http://198.19.249.2/hls/6af31e681f754a51685964c7.m3u8
西藏卫视,http://198.19.249.2/hls/f2a1c24be8912977b16a952c.m3u8

☘️广东频道,#genre#
广州综合,http://198.19.249.2/hls/2ba9433498ba72bb2926e91b.m3u8
广州综合,http://198.19.249.2/hls/1624d44a6238cbd4c1d54659.m3u8

⛰️福建频道,#genre#
福建新闻,http://198.19.249.2/hls/1581d49c5abd650677046916.m3u8
海峡卫视,http://198.19.249.2/hls/26c759de14a96e3bd21df072.m3u8
厦门卫视,http://198.19.249.2/hls/1fd1b5a9903092a05756c7b6.m3u8
