🕘️更新时间,#genre#
2026-09-06 13:52:09,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225829/index.m3u8

📺央视频道,#genre#
CCTV-1,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225829/index.m3u8
CCTV-2,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225923/index.m3u8
CCTV-3,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227256/index.m3u8
CCTV-5,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227283/index.m3u8
CCTV-5+,https://myip.pdtvhd.com/Sports/streams/CCTV5pul.m3u8
CCTV-6,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227260/index.m3u8
CCTV-7,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225805/index.m3u8
CCTV-8,http://74.91.26.218:82/live/cctv8hd.m3u8
CCTV-9,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225820/index.m3u8
CCTV-9,https://xykt-fix.github.io/Y77.m3u8
CCTV-10,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225931/index.m3u8
CCTV-11,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225815/index.m3u8
CCTV-11,http://183.251.61.207/PLTV/88888888/224/3221225815/index.m3u8
CCTV-12,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225932/index.m3u8
CCTV-13,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227237/index.m3u8
CCTV-13,http://go.bkpcp.top/mg/cctv13
CCTV-14,http://74.91.26.218:82/live/cctv14hd.m3u8
CCTV-15,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225818/index.m3u8
CCTV-15,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227270/index.m3u8
CCTV-15,https://xykt-fix.github.io/play/a02e/index.m3u8
CCTV-16,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227162/index.m3u8
CCTV-17,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226986/index.m3u8
CETV-4,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227192/index.m3u8

📡卫视频道,#genre#
广东卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227164/index.m3u8
浙江卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227193/index.m3u8
浙江卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225825/index.m3u8
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
湖南卫视,http://hlsal-ldvt.qing.mgtv.com/nn_live/nn_x64/dWlwPTEyNy4wLjAuMSZ1aWQ9cWluZy1jbXMmbm5fdGltZXpvbmU9OCZjZG5leF9pZD1hbF9obHNfbGR2dCZ1dWlkPTliODY4NmU5ZTM2YzYwMmMmZT02OTE0NjA0JnY9MSZpZD1ITldTWkdTVCZzPTcwN2RiYTc2YzJjNmJmMTQ4MmUyZGYzOWU2NWM3YWFi/HNWSZGST.m3u8
北京卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227246/index.m3u8
北京卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225826/index.m3u8
湖北卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225840/index.m3u8
黑龙江卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227197/index.m3u8
安徽卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225844/index.m3u8
重庆卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227240/index.m3u8
东方卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225828/index.m3u8
